Vid,Cid,RepliesToId,Comments,uniqueId,videoWebUrl
1,7.25702E+18,,🥰🥰🥰,zsamidi,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197
1,7.25895E+18,,Mmmmm,tiehussin_florist,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197
1,7.33263E+18,,🥰🥰🥰,abahkuat007,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197
1,7.29963E+18,,🥰🥰🥰,4sixseven,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197
1,7.25938E+18,,panic attack + axienty ..,shrrrlove,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197
1,7.27031E+18,,👍,kolesskks,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197
1,7.25785E+18,,😊👍,sahila_muri,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197
1,7.25964E+18,,🥰🥰🥰,norihanmahmud7,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197
1,7.25871E+18,,🥰🥰🥰😁😂😳,ramarahma398,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197
1,7.31001E+18,,Anxiety,aufasafiyya1,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197
1,7.25672E+18,,5-Sep,otomenshirley,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197
1,7.25692E+18,,ok noted,kaklonginasalinaz,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197
1,7.28548E+18,,overthinking,dhiya_ainnur01,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197
1,7.26138E+18,,Thanks for info Dr,shamsz88,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197
1,7.22897E+18,,"No. 9 Sentiasa rasa resah gelisah, risau dan takut yang berterusan",noori_ahlifarmasi,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197
1,7.23673E+18,,hmm mcm ye je aq ade anxiety,nisss498,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197
1,7.24848E+18,,gejalanya semuanya banged,yasminealmahyra2,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197
1,7.25117E+18,,Semuanya ada di aku,wahyutriaa,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197
1,7.25899E+18,,sy rasa berdebar telinga berdengsing,rasidah69i,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197
1,7.2448E+18,,semua ciri ii aq ade :),husna_nanaa4,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197
1,7.31201E+18,,anxiety..solat..Zikir...👍🏻,faizzziqmy,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197
1,7.23677E+18,,7 je takde tapi lain semua ada maksudnya saya anxiety kan,eduardbadaluta0,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197
1,7.23673E+18,,semua sy ada,ryna_1303,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197
1,7.25909E+18,,Kurangkan berfikir.. Kdg2 sesetengah org tak perasan dia overthinking.. Bykkan zikir dan doa dgn mulut dan hati..,azizahibrahim79,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197
1,7.27631E+18,,Alhamdulilah syukur dah hilang masalah ni sejak amalkan beberapa pekara.,zalehahaidrus,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197
1,7.27412E+18,,macam mana nak hilangkan penyakit anxiety??,ia.adeera_,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197
1,7.2908E+18,,Dulu sy ad anxiety.. tak boleh duduk depan org ramai.. tapi sekarang dah ok sy makan ubat Nitrazepam 5mg 2biji sehari,syahaq78_,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197
1,7.4471E+18,,"Kalau tetiba menangis tanpa sbb then fikir apa yg aku buat semua x boleh ,, tu kira anxiety ke❓",muhdd_alepp,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197
1,7.33755E+18,,"sy ade masalah rasa mcm org sekeliling brcakap tentng sy . sy jadi gelisah , takot , cepat berpeluh , tngan mggigil . ni tanda2 anxiety jugak ke ?",ieyna_amir,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197
1,7.32878E+18,,doctor.sy ada anxiety.bila nervous walaupun hal kecil tangan akan mengigil atau org kedah cakap ketaq.,jh_supply,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197
1,7.25865E+18,,"semua tanda tu sy ada termasuk yg ni-telinga berdesing,jantung laju,terlalu sensitif,tangan kaki kebas2",kulalik,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197
1,7.2394E+18,,mcm mna nak hilang penyakit ni do 😌,eiris75,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197
1,7.25612E+18,,sy sllu rse rnda kematian dh dkt..tkot tdo mlm sbb xbgn2,rinazack94,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197
1,7.2368E+18,,"No2,no3,no5,no6,no8,no9 je ade kat saya cam no 7 takde lah selalu sangat",iyy_zaa,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197
1,7.24083E+18,,yang pertama je saya takda,itsyaboi_ilmi,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197
1,7.23714E+18,,"ty my doc..but i have it "")",sof.eaf,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197
1,7.24371E+18,,"2,3,7,8 dan 9 saya ada",aqilpuyu._,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197
1,7.24487E+18,,mcmm nii syee rsee anxietyy yerr😭,favv.iss,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197
1,7.23714E+18,,Semua ni ad rasa kt sy 🥺 then ap prlu buat yA,ielahhh06,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197
1,7.24339E+18,,Saya....bila saya kata kat keluarga saya semua tak nak caya 🥺,nrbtrsyamsrh,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197
1,7.23676E+18,,terasa lah pulak 🙂,juv20_10,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197
1,7.24494E+18,,macam mana nk buang ENXIETY NI 😔😭,nurainzulfa,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197
1,7.26828E+18,,plssss dok mcm mana nak hilangkan anxiety ni plsss😔😔,haziqtiberrr,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197
